论文标题 (Title),年份,期刊/会议,核心方程 (Target Equation),解决痛点 (Pain Point),核心方法 (Method)
"Using Physics-Informed neural networks for solving Navier-Stokes equations",2025,ScienceDirect,"流体力学 (NS)","真实几何","Hard BCs"
"Review of physics-informed neural networks in hemodynamics",2026,EAAI,"流体力学 (NS)","血液动力学","Review"
"Physics-Informed Diffusion Models",2025,ICLR,"流体力学 (NS)","生成式 / 湍流","Diffusion Model"
"Self-adaptive weighting and sampling for physics-informed neural networks",2025,arXiv,"流体力学 (NS)","采样效率","Gradient+Residual Sampling"
"NDAWL-PINN: a new non-dimensionalization and multi-task learning approach",2025,T&F,"流体力学 (浅水)","多任务学习","Non-dimensionalization"
"Physics-informed neural networks for complex fluids",2025,JNNFM,"流体力学 (非牛顿)","本构约束","Constitutive Constraints"
"Decomposed Fourier Neural Operator (D-FNO)",2025,CMAME,"流体力学 (3D)","高维灾难","Tensor Decomp"
"Hidden fluid mechanics: Learning velocity and pressure fields",2020,Science,"流体力学 (NS)","反问题","Data Assimilation"
"Investigation of compressor cascade flow using physics-informed neural networks",2024,AIAA,"流体力学 (工程)","工程应用","Turbulence Model"
"Predictive limitations of physics-informed neural networks in vortex shedding",2023,arXiv,"流体力学 (NS)","局限性","Failure Analysis"
"PINNacle: A Comprehensive Benchmark of Physics-Informed Neural Networks",2024,NeurIPS,"激波/守恒律 (Burgers)","基准测试","Benchmark Study"
"TCAS-PINN: Physics-informed neural networks with a novel temporal causality-based adaptive sampling",2024,Chinese Phys B,"激波/守恒律 (Burgers)","因果性","Causal Loss"
"Fourier PINNs: From Strong Boundary Conditions to Adaptive Fourier Bases",2024,arXiv,"激波/守恒律 (Burgers)","谱偏差","Fourier Features"
"DC-PINNs: Physics-Informed Neural Networks for Solving Derivative-Constrained PDEs",2024,OpenReview,"激波/守恒律 (Burgers)","硬约束","Hard Constraint Ansatz"
"Investigating the ability of PINNs to solve burgers’ PDE near finite-time blowup",2023,arXiv,"激波/守恒律 (Burgers)","奇点/爆破","Blow-up Analysis"
"Operator learning enhanced physics-informed neural networks for sharp solutions",2023,arXiv,"激波/守恒律 (Burgers)","激波捕捉","Operator Initialization"
"Physics-informed neural networks with adaptive localized artificial viscosity",2022,arXiv,"激波/守恒律 (Burgers)","伪震荡","Artificial Viscosity"
"Discontinuity computing using physics-informed neural network",2022,arXiv,"激波/守恒律 (Burgers)","间断解","Discontinuity Capturing"
"Exactly conservative physics-informed neural networks",2023,arXiv,"激波/守恒律 (Burgers)","守恒性","Conservative NN"
"Curriculum-Enhanced Adaptive Sampling for Physics-Informed Neural Networks",2025,Mathematics,"刚性/相场 (Allen-Cahn)","收敛困难","Curriculum Learning"
"A novel sequential method to train PINNs for Allen Cahn",2022,CMAME,"刚性/相场 (Allen-Cahn)","刚性","Time-Marching"
"Separable physics-informed DeepONet",2024,CMAME,"刚性/相场 (Reaction-Diffusion)","高维灾难","Tensor Decomp"
"Theory-guided physics-informed neural networks for boundary layer problems",2022,JCP,"刚性/相场 (边界层)","奇异摄动","Asymptotic Theory"
"Semi-analytic PINN methods for boundary layer problems",2023,arXiv,"刚性/相场 (边界层)","边界层","Semi-analytic Basis"
"Loss-attentional physics-informed neural networks",2024,JCP,"波动/高频 (Helmholtz)","高频震荡","Attention Mechanism"
"Multiple scattering simulation via physics-informed neural networks",2024,arXiv,"波动/高频 (Scattering)","散射","Scattering Theory"
"A universal PINNs method for solving PDEs with a point source",2022,IJCAI,"波动/高频 (Helmholtz)","点源奇异性","Singularity Removal"
"Data-driven vector soliton solutions of coupled nonlinear Schrödinger equation",2021,PLA,"波动/高频 (Schrödinger)","孤子","Complex NN"
"Solving Benjamin–Ono equation via gradient balanced PINNs approach",2022,EPJ Plus,"波动/高频 (Benjamin-Ono)","梯度不平衡","Gradient Balancing"
"Physics-Informed Geometry-Aware Neural Operator",2025,CMAME,"高维/几何 (Parametric)","几何泛化","Geometry-Attention"
"Annealed adaptive importance sampling method in PINNs",2024,JCP,"高维 (Heat/Poisson)","采样难","Annealed Sampling"
"Score-based physics-informed neural networks for high-dimensional Fokker-Planck",2024,arXiv,"高维 (Fokker-Planck)","高维分布","Score Matching"
"Derivative-informed projected neural networks",2022,CMAME,"高维 (Parametric)","高维参数","Projected NN"
"Tackling the curse of dimensionality with physics-informed neural networks",2023,arXiv,"高维 (General)","维度灾难","Review/Method"
"CompNO: A Novel Foundation Model approach",2026,arXiv,"基础模型 (Foundation)","通用性","Compositional NO"
"MORPH: PDE Foundation Models with Arbitrary Data Modality",2025,arXiv,"基础模型 (Foundation)","多模态","Transformer"
"Reward-Model-Driven Reasoning for PDE Foundation Models",2025,arXiv,"基础模型 (Foundation)","推理能力","RLHF / Reward"
"Physics-informed Temporal Alignment for Auto-regressive PDE Foundation Models",2025,arXiv,"基础模型 (Foundation)","长时预测","Temporal Alignment"
"Poseidon: Efficient Foundation Models for PDEs",2024,arXiv,"基础模型 (Foundation)","效率","Multiscale Transformer"
"Physics-Informed Neural Networks in Materials Modeling and Design",2025,Archives,"力学与材料","材料设计","Review"
"AT-PINN-HC: A refined time-sequential method",2024,CMAME,"力学与材料","结构动力学","Hard Constraints"
"Improved physics-informed neural networks for discrete fracture model",2024,JCP,"力学与材料","断裂/裂纹","Fracture Model"
"Recent Advances in Experimental Solid Mechanics",2023,AMR,"力学与材料","实验力学","Review"
"Physics-informed multi-LSTM networks for nonlinear structures",2020,CMAME,"力学与材料","非线性结构","LSTM"
"Biomechanical investigations of cancer",2025,Exp. Hem. Onc.,"生物医学","肿瘤生物力学","Biomechanical Model"
"PINNs for Medical Image Analysis",2024,arXiv,"生物医学","医学影像","Registration"
"Improved training using energy-based priors (EIT)",2023,ICLR,"生物医学","电阻抗成像","Energy Prior"
"ClimODE: Climate and Weather Forecasting",2024,ICLR,"地球与气候","气候预测","Neural ODE"
