编号,论文名称,年份,期刊或会议,正式状态,DOI或官方页,网络或方法,求解对象,与当前论文共同点,关键差异,对创新威胁,当前论文应采取的动作
1,"Boundary-aware Neural Model Reduction for PDEs",2026,"ACM SIGGRAPH Technical Papers",正式会议,"10.1145/3799902.3811153","无标签变分坐标神经场、约束 lifting","参数化 Laplace 类 PDE eigenbasis / ROM","单一网络、参数族、无标签 eigenanalysis、多基函数","形状与边界族；不直接学习 Bloch 内部简并 fixed-rank projector","高","收窄贡献；把它列为最大整体近邻"
2,"Learning Laplacian Eigenspace with Mass-Aware Neural Operators on Point Clouds",2026,"ACM SIGGRAPH Technical Papers",正式会议,"10.1145/3799902.3811185","NEO、mass-aware operator、冗余 basis、Rayleigh-Ritz","点云 Laplace-Beltrami eigenspace","旋转不变 eigenspace、projector/subspace、摊销求解","监督标签；点云 LBO；非 Bloch PDE 无标签变分训练","高","加入质量矩阵和冗余 rank 对照；不宣称 eigenspace 首创"
3,"Deep Learning for Subspace Regression",2026,"ICLR",正式会议,"https://openreview.net/forum?id=HF60Lu1Maj","监督 Grassmann 回归、冗余 subspace","参数化 PDE/eigenproblem subspace","参数到 Grassmann 子空间、冗余维数","需要预计算 subspace 标签；本文拟无标签训练","高","作为监督上界；强调 equation-driven 差异"
4,"Mesh-independent band structure prediction of phononic crystals via a wave-vector explicit Hybrid Fourier Neural Operator",2026,"Computers & Structures",正式期刊,"10.1016/j.compstruc.2026.108293","Hybrid FNO + wave-vector branch","声子晶体 band structure","显式 wave vector、周期材料、能带泛化","依赖 FEM 标签且只预测 eigenfrequency","中高","加入跨波矢/跨分辨率测试；作为应用级能带代理对照，不是 eigenspace 监督上界"
5,"Neural network acceleration of iterative methods for nonlinear Schrödinger eigenvalue problems",2026,"Journal of Computational and Applied Mathematics",正式期刊,"10.1016/j.cam.2026.117414","U-Net predict-correct / iterative acceleration","非线性 Schrödinger / Gross-Pitaevskii eigenproblem","神经加速本征求解、many-query/迭代校正","非参数化内部简并谱簇；依赖已有轨迹","中","借鉴 predict-correct 和 break-even；避免泛称神经加速首创"
6,"Solving Singularly Perturbed Eigenvalue Problems via TFPM-Inspired Neural Networks",2026,"Journal of Computational and Applied Mathematics",online/in press 2026；Volume 490 (2027),"10.1016/j.cam.2026.117945","TFPM problem-adapted local basis + neural coefficients","奇异摄动本征问题","物理基底加 correction、接近本征值、理论分析","1D singular perturbation；不学参数化 projector","中","参考结构化 basis、理论界和失败边界的写法；准确报告卷期年份"
7,"Eig-PIELM: an efficient mesh-free method for eigenvalue problems using physics-informed extreme learning machines",2026,"Computer Methods in Applied Mechanics and Engineering",正式期刊,"10.1016/j.cma.2025.118674","PIELM、代数投影、单次广义本征求解","1D/2D 结构振动、声学和 Helmholtz eigenspectrum","无标签 PDE eigenproblem、同时多模态、低成本","非参数化内部简并映射；随机特征直接线性代数","中高","加入效率参照；不得无证据声称神经网络更快"
8,"Utilizing Curriculum Learning for High-Frequency Eigenfunction Discovery through a Physics-informed Neural Network",2026,"Journal of Computational Design and Engineering",正式期刊,"10.1093/jcde/qwag056","两阶段 curriculum PINN","Schrödinger 与 L-shaped membrane 高阶 eigenmodes","本征 PINN、谱偏置、二维 PDE","目标是具体高阶模态而非简并谱簇 projector","中低","普通 curriculum 只作训练技巧或基线"
9,"A variational framework for residual-based adaptivity in neural PDE solvers and operator learning",2026,"npj Artificial Intelligence",正式期刊,"10.1038/s44387-026-00084-4","vRBA、自适应 weighting/sampling","PINN 与 operator-learning PDE benchmarks","自适应采样与物理损失","通用 residual adaptivity；不处理谱隙或 Grassmann chart","中","把 residual-RAR/vRBA 纳入基线；创新限定 gap-chart score"
10,"Principled approaches for extending neural architectures to function spaces for operator learning",2026,"Nature Machine Intelligence",正式期刊,"10.1038/s42256-026-01267-z","函数空间神经架构、坐标与求积一致性","operator learning","离散无关、跨分辨率、质量/求积权重","不是本征求解器","低直接创新威胁／高工程相关","实现 M-weighted projector 与 33/65/129 分辨率验证"
11,"Active learning for photonic crystals",2026,"Optics Express",正式期刊,"10.1364/OE.589388","贝叶斯不确定性主动学习","光子晶体昂贵仿真采样","周期材料参数空间、主动选点","监督仿真代理；非 equation-driven eigensolver","中","普通主动学习不能称新；比较 uncertainty 与 gap-chart score"
