目标方程 (Target Equation),论文标题 (Title),年份,期刊/会议,分类 (GitHub Category)
流体力学 (Fluid - Navier-Stokes),Hidden fluid mechanics: Learning velocity and pressure fields from flow visualizations,2020,Science,2.1 PINN (基础)
流体力学 (Fluid - Navier-Stokes),Predictive limitations of physics-informed neural networks in vortex shedding,2023,arXiv,2.1 PINN (基础)
流体力学 (Fluid - Navier-Stokes),Investigation of compressor cascade flow using physics-informed neural networks,2024,AIAA Journal,2.1 PINN (基础)
流体力学 (Fluid - Navier-Stokes),Using Physics-Informed neural networks for solving Navier-Stokes equations,2025,ScienceDirect,4.2 流体力学
流体力学 (Fluid - Navier-Stokes),Review of physics-informed neural networks in hemodynamics,2026,EAAI,1. 综述
流体力学 (Fluid - Navier-Stokes),Physics-Informed Diffusion Models,2025,ICLR,3.13 生成模型
流体力学 (Fluid - Navier-Stokes),Decomposed Fourier Neural Operator (D-FNO),2025,CMAME,2.3 神经算子
流体力学 (Fluid - Navier-Stokes),Self-adaptive weighting and sampling for physics-informed neural networks,2025,arXiv,3.5 采样策略
流体力学 (Fluid - Navier-Stokes),Filtered partial differential equations: A robust surrogate constraint in PINN,2023,arXiv,2.1 PINN (基础)
流体力学 (Fluid - Shallow Water),NDAWL-PINN: a new non-dimensionalization and multi-task learning approach,2025,T&F,4.2 流体力学
流体力学 (Fluid - Non-Newtonian),Physics-informed neural networks for complex fluids,2025,JNNFM,4.2 流体力学
流体力学 (Fluid - Traffic Flow),On the limitations of physics-informed deep learning: Illustrations using traffic flow models,2023,arXiv,2.1 PINN (基础)
激波/守恒律 (Shock - Burgers),Investigating the ability of PINNs to solve burgers’ PDE near finite-time blowup,2023,arXiv,2.1 PINN (基础)
激波/守恒律 (Shock - Burgers),Physics-informed neural networks with adaptive localized artificial viscosity,2022,arXiv,2.1 PINN (基础)
激波/守恒律 (Shock - Burgers),Discontinuity computing using physics-informed neural network,2022,arXiv,2.1 PINN (基础)
激波/守恒律 (Shock - Burgers),Operator learning enhanced physics-informed neural networks for sharp solutions,2023,arXiv,2.1 PINN (基础)
激波/守恒律 (Shock - Burgers),PINNacle: A Comprehensive Benchmark of Physics-Informed Neural Networks,2024,NeurIPS,3.1 基准测试
激波/守恒律 (Shock - Burgers),TCAS-PINN: Physics-informed neural networks with a novel temporal causality-based adaptive sampling,2024,Chinese Phys B,3.5 采样策略
激波/守恒律 (Shock - Burgers),Fourier PINNs: From Strong Boundary Conditions to Adaptive Fourier Bases,2024,arXiv,2.1 PINN (基础)
激波/守恒律 (Shock - Burgers),DC-PINNs: Physics-Informed Neural Networks for Solving Derivative-Constrained PDEs,2024,OpenReview,3.4 Loss函数
激波/守恒律 (Shock - Conservation Laws),Exactly conservative physics-informed neural networks and deep operator networks,2023,arXiv,2.1 PINN (基础)
刚性/相场 (Stiff - Allen-Cahn),A novel sequential method to train PINNs for Allen Cahn and Cahn Hilliard equations,2022,CMAME,2.1 PINN (基础)
刚性/相场 (Stiff - Allen-Cahn),Curriculum-Enhanced Adaptive Sampling for Physics-Informed Neural Networks,2025,Mathematics,3.5 采样策略
刚性/相场 (Stiff - Reaction-Diffusion),Separable physics-informed DeepONet: Breaking the curse of dimensionality,2024,CMAME,2.2 DeepONet
刚性/相场 (Stiff - Boundary Layer),Theory-guided physics-informed neural networks for boundary layer problems,2022,JCP,2.1 PINN (基础)
刚性/相场 (Stiff - Boundary Layer),Semi-analytic PINN methods for boundary layer problems in a rectangular domain,2023,arXiv,2.1 PINN (基础)
波动/高频 (Wave - Helmholtz),A universal PINNs method for solving partial differential equations with a point source,2022,IJCAI,2.1 PINN (基础)
波动/高频 (Wave - Helmholtz),Loss-attentional physics-informed neural networks,2024,JCP,3.4 Loss函数
波动/高频 (Wave - Scattering),Multiple scattering simulation via physics-informed neural networks,2024,arXiv,2.1 PINN (基础)
波动/高频 (Wave - Schrödinger),Data-driven vector soliton solutions of coupled nonlinear Schrödinger equation,2021,Physics Letters A,2.1 PINN (基础)
波动/高频 (Wave - Schrödinger),A-WPINN algorithm for the data-driven vector-soliton solutions,2022,Physica D,2.1 PINN (基础)
波动/高频 (Wave - Benjamin-Ono),Solving Benjamin–Ono equation via gradient balanced PINNs approach,2022,EPJ Plus,2.1 PINN (基础)
高维 (High-D - Parametric),Derivative-informed projected neural networks for high-dimensional parametric maps,2022,CMAME,2.1 PINN (基础)
高维 (High-D - Parametric),Physics-Informed Geometry-Aware Neural Operator,2025,CMAME,2.9 神经算子
高维 (High-D - General),Tackling the curse of dimensionality with physics-informed neural networks,2023,arXiv,2.1 PINN (基础)
高维 (High-D - General),Annealed adaptive importance sampling method in PINNs,2024,JCP,3.5 采样策略
高维 (High-D - Fokker-Planck),Score-based physics-informed neural networks for high-dimensional Fokker-Planck equations,2024,arXiv,2.1 PINN (基础)
基础模型 (Foundation Models),CompNO: A Novel Foundation Model approach,2026,arXiv,2.14 基础模型 (大模型)
基础模型 (Foundation Models),MORPH: PDE Foundation Models with Arbitrary Data Modality,2025,arXiv,2.14 基础模型 (大模型)
基础模型 (Foundation Models),Reward-Model-Driven Reasoning for PDE Foundation Models,2025,arXiv,2.14 基础模型 (大模型)
基础模型 (Foundation Models),Physics-informed Temporal Alignment for Auto-regressive PDE Foundation Models,2025,arXiv,2.14 基础模型 (大模型)
基础模型 (Foundation Models),Poseidon: Efficient Foundation Models for PDEs,2024,arXiv,2.14 基础模型 (大模型)
力学与材料 (Mechanics),Physics-informed multi-LSTM networks for meta-modeling of nonlinear structures,2020,CMAME,2.1 PINN (基础)
力学与材料 (Mechanics),Improved physics-informed neural networks for the reinterpreted discrete fracture model,2024,JCP,2.1 PINN (基础)
力学与材料 (Mechanics),AT-PINN-HC: A refined time-sequential method incorporating hard-constraint strategies,2024,CMAME,2.1 PINN (基础)
力学与材料 (Mechanics),Physics-Informed Neural Networks in Materials Modeling and Design,2025,Archives,4.10 材料科学
力学与材料 (Mechanics),Recent Advances and Applications of Machine Learning in Experimental Solid Mechanics,2023,AMR,4.5 力学
生物医学 (Biomedical),Biomechanical investigations of cancer,2025,Exp. Hem. Onc.,4.19 生物医学
生物医学 (Biomedical),PINNs for Medical Image Analysis,2024,arXiv,4.8 图像处理
生物医学 (Biomedical),Improved training of physics-informed neural networks using energy-based priors (EIT),2023,ICLR,2.1 PINN (基础)
地球与气候 (Geo/Climate),ClimODE: Climate and Weather Forecasting with Physics-informed Neural ODEs,2024,ICLR,4.4 气候气象
地球与气候 (Geo/Climate),Physics-Informed neural network solver for numerical analysis in geoengineering,2024,T&F,4.20 地球科学
反问题 (Inverse Problem),Multi-output physics-informed neural networks for forward and inverse PDE problems,2022,CMAME,2.1 PINN (基础)
反问题 (Inverse Problem),A-PINN: Auxiliary physics informed neural networks for forward and inverse problems,2022,JCP,2.1 PINN (基础)
反问题 (Inverse Problem),RPINNs: Rectified-physics informed neural networks for solving stationary PDEs,2022,Computers and Fluids,2.1 PINN (基础)
反问题 (Inverse Problem),HomPINNs: Homotopy physics-informed neural networks for solving the inverse problems,2023,arXiv,2.1 PINN (基础)
反问题 (Inverse Problem),An enhanced hybrid adaptive physics-informed neural network,2025,Applied Intel.,3.5 采样策略
通用/理论 (General),Deep hidden physics models: Deep learning of nonlinear partial differential equations,2018,JMLR,2.1 PINN (基础)
通用/理论 (General),Parallel physics-informed neural networks via domain decomposition,2021,JCP,2.1 PINN (基础)
通用/理论 (General),Exact imposition of boundary conditions with distance functions in physics-informed deep neural networks,2022,CMAME,2.1 PINN (基础)
通用/理论 (General),Gradient-enhanced physics-informed neural networks for forward and inverse PDE problems,2022,CMAME,2.1 PINN (基础)
通用/理论 (General),PPINN: Parareal physics-informed neural network for time-dependent PDEs,2020,CMAME,2.1 PINN (基础)
通用/理论 (General),CAN-PINN: A fast physics-informed neural network based on coupled-automatic–numerical differentiation,2022,CMAME,2.1 PINN (基础)
通用/理论 (General),Physics-augmented learning: A new paradigm beyond physics-informed learning,2021,NeurIPS,2.1 PINN (基础)
通用/理论 (General),Robust learning of physics informed neural networks,2021,arXiv,2.1 PINN (基础)
通用/理论 (General),Learning physics-informed neural networks without stacked back-propagation,2023,AISTATS,2.1 PINN (基础)
通用/理论 (General),NeuralPDE: Automating physics-informed neural networks (PINNs) with error approximations,2021,arXiv,2.1 PINN (基础)
通用/理论 (General),Physics informed RNN-DCT networks for time-dependent PDEs,2022,ICCS,2.1 PINN (基础)
通用/理论 (General),A mixed formulation for physics-informed neural networks,2022,CMAME,2.1 PINN (基础)
通用/理论 (General),Physics-informed neural networks combined with polynomial interpolation,2023,Computers & Mathematics,2.1 PINN (基础)
通用/理论 (General),Physics-informed neural operator for learning partial differential equations,2021,arXiv,2.3 神经算子
通用/理论 (General),"Anisotropic, sparse and interpretable physics-informed neural networks for PDEs",2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Fast neural network based solving of partial differential equations,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Learning differentiable solvers for systems with hard constraints,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Momentum diminishes the effect of spectral bias in physics-informed neural networks,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Δ-PINNs: Physics-informed neural networks on complex geometries,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Replacing automatic differentiation by Sobolev Cubatures,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),FO-PINNs: A first-order formulation for physics informed neural networks,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Augmented physics-informed neural networks (APINNs),2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Physics-informed neural networks for operator equations with stochastic data,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Physics-informed neural networks with unknown measurement noise,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),On the compatibility between a neural network and a PDE,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),Pre-training strategy for solving evolution equations based on PINNs,2022,arXiv,2.1 PINN (基础)
通用/理论 (General),L-HYDRA: Multi-head physics-informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),PINN for dynamical PDEs is not training deeper networks rather learning advection,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Wavelets based physics informed neural networks to solve non-linear differential equations,2023,Scientific Reports,2.1 PINN (基础)
通用/理论 (General),Adaptive weighting of Bayesian physics informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Efficient physics-informed neural networks using hash encoding,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Ensemble learning for physics informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Achieving high accuracy with PINNs via energy natural gradients,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Implicit stochastic gradient descent for training physics-informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),NSGA-PINN: A multi-objective optimization method for PINN training,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Improving physics-informed neural networks with meta-learned optimization,2024,JMLR,2.1 PINN (基础)
通用/理论 (General),Separable physics-informed neural networks,2023,NeurIPS,2.1 PINN (基础)
通用/理论 (General),MetaPhysiCa: OOD robustness in physics-informed machine learning,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),iPINNs: Incremental learning for physics-informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Provably correct physics-informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Residual-based error bound for physics-informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Automatic boundary fitting framework of boundary dependent PINN,2023,CMAME,2.1 PINN (基础)
通用/理论 (General),Solving a class of multi-scale elliptic PDEs by means of Fourier-based mixed PINNs,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Gradient descent finds the global optima of two-layer physics-informed neural networks,2023,ICML,2.1 PINN (基础)
通用/理论 (General),Residual-based attention in physics-informed neural networks,2024,CMAME,2.1 PINN (基础)
通用/理论 (General),Auxiliary-tasks learning for physics-informed neural network-based PDE solving,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Tensor-compressed back-propagation-free training for (physics-informed) neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),How to select physics-informed neural networks in the absence of ground truth,2023,ICML,2.1 PINN (基础)
通用/理论 (General),A gradient-enhanced physics-informed neural network (gPINN) scheme,2023,EAAI,2.1 PINN (基础)
通用/理论 (General),Learning only on boundaries: A physics-informed neural operator for complex geometries,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Exact and soft boundary conditions in physics-informed neural networks,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Correcting model misspecification in physics-informed neural networks (PINNs),2024,CMAME,2.1 PINN (基础)
通用/理论 (General),On residual minimization for PDEs: Failure of PINN,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),PINNs-TF2: Fast and user-friendly physics-informed neural networks in TensorFlow V2,2023,NeurIPS,2.1 PINN (基础)
通用/理论 (General),Enhanced physics-informed neural networks with domain scaling,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Physics-informed neural networks for transformed geometries and manifolds,2023,arXiv,2.1 PINN (基础)
通用/理论 (General),Neuro-PINN: A hybrid framework for efficient nonlinear projection equation solutions,2023,Int. J. Numer. Meth. Eng.,2.1 PINN (基础)
通用/理论 (General),PICL: Physics informed contrastive learning for partial differential equations,2024,arXiv,2.1 PINN (基础)
通用/理论 (General),Fourier warm start for physics-informed neural networks,2024,EAAI,2.1 PINN (基础)
通用/理论 (General),Preconditioning for physics-informed neural networks,2024,ICML,2.1 PINN (基础)
通用/理论 (General),RBF-PINN: Non-Fourier positional embedding in physics-informed neural networks,2024,arXiv,2.1 PINN (基础)
通用/理论 (General),Exact enforcement of temporal continuity in sequential physics-informed neural networks,2024,arXiv,2.1 PINN (基础)
通用/理论 (General),Anti-derivatives approximator for enhancing physics-informed neural networks,2024,CMAME,2.1 PINN (基础)
通用/理论 (General),GMC-PINNs: A new general Monte Carlo PINNs method,2024,arXiv,2.1 PINN (基础)
通用/理论 (General),CEENs: Causality-enforced evolutional networks for solving time-dependent PDEs,2024,CMAME,2.1 PINN (基础)
通用/理论 (General),PTPI-DL-ROMs: Pre-trained physics-informed deep learning-based reduced order models,2024,arXiv,2.1 PINN (基础)
通用/理论 (General),Closed-form symbolic solutions: A new perspective on solving PDEs,2024,arXiv,2.1 PINN (基础)
通用/理论 (General),RoPINN: Region optimized physics-informed neural networks,2024,arXiv,2.1 PINN (基础)
通用/理论 (General),Interface PINNs (I-PINNs): A physics-informed neural networks framework for interface problems,2024,CMAME,2.1 PINN (基础)
通用/理论 (General),Parameterized physics-informed neural networks for parameterized PDEs,2024,ICML,2.1 PINN (基础)
通用/理论 (General),Development of backward compatible physics-informed neural networks,2024,PoF,2.1 PINN (基础)
通用/理论 (General),How does PDE order affect the convergence of PINNs?,2024,NeurIPS,2.1 PINN (基础)
通用/理论 (General),Variational physics-informed neural operator (VINO) for solving partial differential equations,2025,CMAME,2.9 神经算子
通用/理论 (General),Kolmogorov–Arnold-informed neural network,2025,CMAME,2.1 PINN (基础)
